"code","time","rate","species","file","file.cut"
"song",16,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",16,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",17.6,0.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",17.6,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",19.2,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",19.2,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",20.8,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",20.8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",22.4,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",22.4,3,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",24,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",24,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",25.6,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",25.6,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",27.2,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",27.2,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",28.8,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",28.8,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",30.4,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",30.4,3,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",32,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",32,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",33.6,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",33.6,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",35.2,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",35.2,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",36.8,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",36.8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",38.4,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",38.4,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",40,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",40,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",41.6,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",41.6,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",43.2,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",43.2,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",44.8,1.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",44.8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",46.4,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",46.4,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",48,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",48,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",49.6,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",49.6,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",51.2,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",51.2,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",52.8,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",52.8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",54.4,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",54.4,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",55.5105,1.32406487917908,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",55.5105,3.3101621979477,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
